file,lines,maxDist,minDist,meanDist,difDist,sumDist,maxTime,minTime,meanTime,difTime,sumTime
1996611917.csv,3356,0.29776766370118773,0.0,0.012764513081457016,0.29776766370118773,42.837705901369745,2.98333333333332,0.016666666666623087,0.07807749627421758,2.966666666666697,261.95
1996612149.csv,10742,0.010157988437386939,0.0,0.003957683808895776,0.010157988437386939,42.51343947515842,0.01666666666667993,0.016666666666637298,0.016666666666666666,4.263256414560601e-14,179.01666666666668
1996612648.csv,2400,0.03936887849464888,0.0,0.01785626705376901,0.03936887849464888,42.85504092904562,1.6499999999999915,0.016666666666623087,0.12668472974850634,1.6333333333333684,303.9166666666667
1996613415.csv,5116,0.026211513199091336,0.0,0.00844565635401615,0.026211513199091336,43.20797790714663,0.16666666666668561,0.016666666666623087,0.05011404366243075,0.15000000000006253,256.3333333333333
1996614683.csv,12906,0.005015392870625151,0.0,0.003303759552597163,0.005015392870625151,42.63832078581899,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,215.08333333333331
1996615061.csv,15655,0.010293506418832973,0.0,0.0027342528732925767,0.010293506418832973,42.804728731395286,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,260.9
1996615610.csv,2444,0.039140924546623525,0.0,0.01761110171023248,0.039140924546623525,43.041532579808184,0.16666666666668561,0.016666666666623087,0.08784963842270432,0.15000000000006253,214.61666666666667
1996616423.csv,2262,0.04567841954098149,0.0,0.018815061378467477,0.04567841954098149,42.55966883809344,0.3499999999999943,0.016666666666623087,0.11035677428866283,0.33333333333337123,249.51666666666668
1996616722.csv,3392,0.03267860869317101,0.0,0.012882698127773774,0.03267860869317101,43.69811204940864,0.28333333333335986,0.016666666666623087,0.09727710606507421,0.2666666666667368,329.8666666666667
1996617237.csv,2903,0.04393357690531224,0.0,0.014784686620987478,0.04393357690531224,42.91994526072665,0.11666666666668846,0.016666666666623087,0.06926257753273604,0.10000000000006537,201.0
1996617536.csv,11701,0.019298670407452874,0.0,0.0036641543105979065,0.019298670407452874,42.874269588306106,0.03333333333338828,0.016666666666623087,0.016866096866096865,0.016666666666765195,197.33333333333331
1996617676.csv,3425,0.05494789652335488,0.0,0.01264354739398632,0.05494789652335488,43.30414982440315,0.7666666666666515,0.016666666666623087,0.09675330996884736,0.7500000000000284,331.28333333333336
1996617974.csv,2144,0.02552433226050932,0.0,0.019914127384549903,0.02552433226050932,42.695889112474994,0.6499999999999986,0.016666666666623087,0.11018043241561674,0.6333333333333755,236.11666666666667
1996618025.csv,12903,0.007935536573478447,0.0,0.003295937199431245,0.007935536573478447,42.527477684261356,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,215.03333333333333
1996618542.csv,4217,0.21114626456127017,0.0,0.010060543022959011,0.21114626456127017,42.42530992781815,1.4333333333333371,0.016666666666623087,0.06001344086021506,1.416666666666714,253.01666666666668
1996619076.csv,2136,0.03371593391141902,0.0,0.02018547275561707,0.03371593391141902,43.116169805998055,0.21666666666666679,0.016666666666623087,0.10449648711943793,0.2000000000000437,223.1
1996619182.csv,3084,0.025315327354732523,0.0,0.013818976486525282,0.025315327354732523,42.61772348444397,0.18333333333333712,0.016666666666623087,0.0676397448372797,0.16666666666671404,208.53333333333333
1996619888.csv,2090,0.04031108459751199,0.0,0.02041487076187566,0.04031108459751199,42.66707989232013,0.38333333333329733,0.01666666666665151,0.10670177118238391,0.3666666666666458,222.9
1996620952.csv,13800,0.20412155036701118,0.0,0.0031047612175032265,0.20412155036701118,42.84570480154453,0.9666666666666686,0.016666666666623087,0.016829721960528538,0.9500000000000455,232.2333333333333
1996623198.csv,14051,0.0052745749035723625,0.0,0.0030475222950482965,0.0052745749035723625,42.82073576772361,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,234.16666666666663
1996623450.csv,16175,0.027299492137303105,0.0,0.002642833347887892,0.027299492137303105,42.74782940208665,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,269.56666666666666
1996623581.csv,2491,0.026567025314270794,0.0,0.017119284190389505,0.026567025314270794,42.64413691826026,0.23333333333332007,0.016666666666623087,0.08795180722891566,0.21666666666669698,219.0
1996623766.csv,13755,0.006705975116300215,0.0,0.0030929484631236244,0.006705975116300215,42.543506110265454,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,229.2333333333333
